id,questionText,diagnosticTarget,difficulty,recommendedScoringModels,contentCoverage,diagnosticCoverage,answerSignals
Q_BF_011_COLLABORATION_STYLE,How do you prefer to collaborate with others when working on a shared task?,CollaborationStyle,Basic,"[""BIG_FIVE"", ""ThinkingQuality""]","{""teamwork"": 0.85, ""communication"": 0.8, ""collaboration"": 0.9, ""selfAwareness"": 0.45}","{""BIG_FIVE"": {""A"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""E"": {""coverage"": 0.45, ""desiredDirection"": ""high""}, ""C"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}}","[""describes collaboration habits"", ""mentions communication"", ""respects roles"", ""coordinates work"", ""shows awareness of team needs""]"
Q_BF_012_NEW_IDEAS,Tell me about a time you suggested or tried a new approach to solve a problem.,OpennessAndInnovation,Medium,"[""BIG_FIVE"", ""ThinkingQuality"", ""PracticalAbilities""]","{""learningAbility"": 0.6, ""adaptability"": 0.7, ""problemSolving"": 0.75, ""initiative"": 0.7, ""processImprovement"": 0.65}","{""BIG_FIVE"": {""O"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""C"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.7, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}}","[""offers a new approach"", ""explains why it was useful"", ""tests or applies the idea"", ""reflects on outcome"", ""shows curiosity""]"
Q_PA_001_IMPLEMENTED_PROJECT_RESULT,"Tell me about a project or task you implemented yourself. What exactly did you do, and what was the result?",PracticalAbilities,Medium,"[""PracticalAbilities"", ""Experience"", ""BIG_FIVE""]","{""implementation"": 0.95, ""projectExperience"": 0.85, ""ownership"": 0.9, ""impact"": 0.85, ""independentWork"": 0.7}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.9, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.8, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.45, ""desiredDirection"": ""high""}, ""O"": {""coverage"": 0.25, ""desiredDirection"": ""high""}}}","[""clearly states personal contribution"", ""mentions implementation details"", ""explains what was delivered"", ""describes the result or impact"", ""distinguishes own work from team work""]"
Q_PA_002_PROCESS_IMPROVEMENT,Tell me about something you improved. What changed because of your work?,ImpactAndImprovement,Medium,"[""PracticalAbilities"", ""ThinkingQuality"", ""BIG_FIVE""]","{""processImprovement"": 0.95, ""impact"": 0.95, ""initiative"": 0.65, ""ownership"": 0.7}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.95, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.45, ""desiredDirection"": ""high""}, ""O"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}}","[""identifies what was improved"", ""explains own action"", ""describes measurable or visible result"", ""connects action to outcome"", ""shows initiative""]"
Q_PA_003_PERSONAL_CONTRIBUTION,"Think of a team project you were part of. What was your personal contribution, and how do you know it mattered?",PersonalContribution,Medium,"[""PracticalAbilities"", ""Experience"", ""BIG_FIVE""]","{""ownership"": 0.9, ""impact"": 0.8, ""teamwork"": 0.6, ""projectExperience"": 0.75}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.8, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.35, ""desiredDirection"": ""high""}, ""A"": {""coverage"": 0.3, ""desiredDirection"": ""high""}}}","[""separates own work from team work"", ""states responsibility"", ""mentions impact"", ""uses concrete details"", ""does not speak only in generalities""]"
Q_PA_004_PRODUCTION_DELIVERY,"Tell me about something you delivered to real users, production, or an actual business process.",DeliveryImpact,Medium,"[""PracticalAbilities"", ""Experience"", ""ThinkingQuality""]","{""impact"": 0.9, ""implementation"": 0.85, ""professionalExposure"": 0.75, ""responsibility"": 0.7}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.95, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.8, ""desiredDirection"": ""high""}}}","[""mentions real users or process"", ""describes delivery context"", ""explains personal responsibility"", ""describes result"", ""shows practical impact""]"
Q_PA_005_AUTOMATION_SCRIPT,"Tell me about a script, automation, dashboard, report, or tool you built. What problem did it solve?",ImplementationAndImpact,Medium,"[""PracticalAbilities"", ""Experience"", ""ThinkingQuality""]","{""implementation"": 0.9, ""automation"": 0.9, ""impact"": 0.8, ""technicalExperience"": 0.75}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.85, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""structure"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.8, ""desiredDirection"": ""high""}}}","[""describes what was built"", ""explains why it was needed"", ""mentions tools or environment"", ""states result or benefit"", ""shows ownership""]"
Q_PA_006_OWNED_TASK_END_TO_END,"Tell me about a task you owned from beginning to end. How did you plan, execute, and finish it?",Ownership,Medium,"[""PracticalAbilities"", ""Experience"", ""BIG_FIVE""]","{""ownership"": 0.95, ""responsibility"": 0.9, ""selfManagement"": 0.8, ""prioritization"": 0.55}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.5, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.9, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.75, ""desiredDirection"": ""high""}}}","[""plans work"", ""executes independently"", ""follows through"", ""mentions responsibility"", ""explains final result""]"
Q_PA_007_FIXING_REAL_ISSUE,"Describe a real issue you fixed. What was broken, what did you do, and how did you verify it was fixed?",IssueResolution,Medium,"[""PracticalAbilities"", ""ThinkingQuality"", ""Experience""]","{""problemSolving"": 0.85, ""debugging"": 0.8, ""implementation"": 0.75, ""qualityAwareness"": 0.7}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.7, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.85, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.5, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}}","[""describes the issue clearly"", ""explains actions taken"", ""verifies the result"", ""uses evidence"", ""takes responsibility""]"
Q_PA_008_MEASURABLE_RESULT,"Tell me about a task where you can point to a clear result, metric, or visible improvement.",MeasurableImpact,Medium,"[""PracticalAbilities"", ""ThinkingQuality""]","{""impact"": 0.95, ""processImprovement"": 0.8, ""responsibility"": 0.55, ""specificity"": 0.8}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.95, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""clarity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.8, ""desiredDirection"": ""high""}}}","[""mentions a clear before and after"", ""uses measurable result if possible"", ""connects own work to outcome"", ""explains why result mattered"", ""is specific""]"
Q_PA_009_MAINTAIN_EXISTING_SYSTEM,"Tell me about a time you maintained, improved, or fixed something that already existed rather than building from scratch.",MaintenanceAndOwnership,Medium,"[""PracticalAbilities"", ""Experience"", ""BIG_FIVE""]","{""maintenanceWork"": 0.95, ""ownership"": 0.75, ""problemSolving"": 0.7, ""qualityAwareness"": 0.7}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}, ""Experience"": {""exposure"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""complexity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""responsibility"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}}","[""understands existing system"", ""works carefully"", ""describes improvement or fix"", ""takes responsibility"", ""mentions constraints""]"
Q_PA_010_UNBLOCKED_WORK,Tell me about a time you were blocked on a task. What did you do to move forward?,Resourcefulness,Medium,"[""PracticalAbilities"", ""ThinkingQuality"", ""BIG_FIVE""]","{""problemSolving"": 0.75, ""ownership"": 0.7, ""communication"": 0.55, ""selfManagement"": 0.65}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.5, ""desiredDirection"": ""high""}, ""N"": {""coverage"": 0.35, ""desiredDirection"": ""low""}}}","[""identifies blocker"", ""takes action"", ""asks for help appropriately"", ""tries reasonable options"", ""keeps progress""]"
Q_PA_011_QUALITY_CHECK,Describe how you check that your work is correct before handing it over.,QualityOwnership,Basic,"[""PracticalAbilities"", ""BIG_FIVE"", ""ThinkingQuality""]","{""attentionToDetail"": 0.95, ""qualityAwareness"": 0.9, ""responsibility"": 0.7, ""selfManagement"": 0.55}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.85, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""structure"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}}","[""checks work systematically"", ""tests or reviews output"", ""mentions edge cases"", ""takes responsibility for quality"", ""does not rely only on others""]"
Q_PA_012_DELIVER_UNDER_LIMITS,"Tell me about a task you completed with limited time, limited information, or limited resources.",ExecutionUnderConstraints,Medium,"[""PracticalAbilities"", ""ThinkingQuality"", ""BIG_FIVE""]","{""pressureHandling"": 0.7, ""prioritization"": 0.75, ""ownership"": 0.75, ""problemSolving"": 0.7}","{""PracticalAbilities"": {""Specificity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.6, ""desiredDirection"": ""high""}}, ""ThinkingQuality"": {""logic"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.7, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""N"": {""coverage"": 0.5, ""desiredDirection"": ""low""}, ""C"": {""coverage"": 0.55, ""desiredDirection"": ""high""}}}","[""explains constraints"", ""prioritizes wisely"", ""takes responsibility"", ""delivers practical result"", ""communicates tradeoffs""]"
Q_TQ_001_TECHNICAL_PROBLEM_STEP_BY_STEP,"Describe a technical problem you solved step by step. What options did you consider, and why did you choose your solution?",ThinkingQuality,Medium,"[""ThinkingQuality"", ""PracticalAbilities"", ""BIG_FIVE""]","{""problemSolving"": 0.95, ""technicalThinking"": 0.9, ""structuredThinking"": 0.95, ""debugging"": 0.85, ""decisionMaking"": 0.8}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.65, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.85, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.55, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.45, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.35, ""desiredDirection"": ""high""}, ""O"": {""coverage"": 0.25, ""desiredDirection"": ""high""}}}","[""explains the problem clearly"", ""breaks the solution into steps"", ""mentions alternatives"", ""uses evidence rather than guessing"", ""connects reasoning to implementation""]"
Q_TQ_002_DECISION_TRADEOFFS,Tell me about a decision where you had to choose between two imperfect options. How did you decide?,DecisionMaking,Medium,"[""ThinkingQuality"", ""BIG_FIVE""]","{""decisionMaking"": 0.95, ""structuredThinking"": 0.85, ""tradeoffAnalysis"": 0.9, ""problemSolving"": 0.65}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.75, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.65, ""desiredDirection"": ""high""}}, ""BIG_FIVE"": {""C"": {""coverage"": 0.35, ""desiredDirection"": ""high""}, ""O"": {""coverage"": 0.35, ""desiredDirection"": ""high""}}}","[""identifies tradeoffs"", ""explains criteria"", ""uses reasoning"", ""reflects on outcome"", ""does not oversimplify""]"
Q_TQ_003_ROOT_CAUSE,Describe how you would find the root cause of a recurring problem.,RootCauseAnalysis,Medium,"[""ThinkingQuality"", ""PracticalAbilities""]","{""problemSolving"": 0.9, ""technicalThinking"": 0.7, ""structuredThinking"": 0.95, ""debugging"": 0.75}","{""ThinkingQuality"": {""logic"": {""coverage"": 0.95, ""desiredDirection"": ""high""}, ""clarity"": {""coverage"": 0.8, ""desiredDirection"": ""high""}, ""depth"": {""coverage"": 0.85, ""desiredDirection"": ""high""}, ""structure"": {""coverage"": 0.9, ""desiredDirection"": ""high""}, ""metacognition"": {""coverage"": 0.6, ""desiredDirection"": ""high""}, ""applied"": {""coverage"": 0.7, ""desiredDirection"": ""high""}}, ""PracticalAbilities"": {""Specificity"": {""coverage"": 0.7, ""desiredDirection"": ""high""}, ""Ownership"": {""coverage"": 0.45, ""desiredDirection"": ""high""}, ""Impact"": {""coverage"": 0.4, ""desiredDirection"": ""high""}}}","[""distinguishes symptoms from causes"", ""uses systematic investigation"", ""checks evidence"", ""avoids random guessing"", ""describes verification""]"
