question,answer,specificity,ownership,impact,set_type,notes
Tell me about a task you had to complete under time pressure. How did you manage the execution?,"I worked on client communication with React. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I was personally responsible for the execution end-to-end. I coordinated with operations and HR to make sure the solution matched the real workflow. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",4,5,1,main,specificity_high_impact_low
Describe a project you executed end-to-end. What did you do and what was the result?,"I worked on API integration with Figma. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I led the core implementation and was accountable for the main deliverables. I coordinated with product and finance to make sure the solution matched the real workflow. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",4,4,1,minimal_pair_low,pair_dim=impact
What was your role in your last team project? What part did you personally handle?,"In my last role, I owned a performance optimization project using C#. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I was personally responsible for the execution end-to-end. I coordinated with HR and product to make sure the solution matched the real workflow. We reduced runtime from 9 minutes to 3 seconds. The change was adopted by the team and stayed in regular use.",5,5,5,main,all_high
"What core tool have you used recently, and what did you actually do with it?","I worked on permissions management with C#. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I had responsibility for part of the work, together with the rest of the team. The result was a noticeable improvement, even though we did not track every metric formally.",4,3,3,main,mixed_mid
Describe a situation where you automated a manual process.,"I worked on API integration, and i have experience in this area. I had responsibility for part of the work, together with the rest of the team. The result was a noticeable improvement, even though we did not track every metric formally.",2,3,3,main,mixed_mid
"What core tool have you used recently, and what did you actually do with it?","In my last role, I owned a inventory tracking project using Make. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I was personally responsible for the execution end-to-end. I coordinated with operations and support to make sure the solution matched the real workflow. We reduced report preparation time from 6 hours to 4 minutes.",5,5,4,main,all_high
Tell me about a task you had to complete under time pressure. How did you manage the execution?,We increased output tenfold in a week without changing the process.,1,2,2,edge_case,unrealistic_claim
How do you measure success in a task? Give a real example.,"I wrote a Python ETL pipeline that pulled data from an API, stored it in PostgreSQL, and fed a Power BI dashboard used by operations.",5,5,4,edge_case,strong_specific
Describe a situation where you automated a manual process.,"I learn quickly and adapt. I was not focused on the details because it was only one part of the job. The team owned the work overall, and my role was limited. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",1,1,1,main,all_low
"Describe a process you improved. What was the situation before, and what changed afterward?","I am hardworking, responsible, committed, and always try to do my best in every situation. I am hardworking, responsible, committed, and always try to do my best in every situation. I am hardworking, responsible, committed, and always try to do my best in every situation. ",1,3,1,edge_case,long_but_empty
"Describe a process you improved. What was the situation before, and what changed afterward?","In my last role, I owned a payment operations project using Snowflake. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. The team owned the work overall, and my role was limited. I coordinated with finance and engineering to make sure the solution matched the real workflow. We reduced response time from 7 hours to 3 minutes. The change was adopted by the team and stayed in regular use. I do not remember the exact numbers, only the direction of the change.",5,1,5,main,ownership_low_specificity_high
"What core tool have you used recently, and what did you actually do with it?","I've done similar things before. The team owned the work overall, and my role was limited. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",1,1,1,main,all_low
Tell me about a technical or operational problem you faced and how you solved it.,"I handled work related to log analysis and used Lambda as part of the process. I split the task into a few steps and went through them with the team. I led the core implementation and was accountable for the main deliverables. I coordinated with HR and QA to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",3,4,3,main,mixed_mid
Tell me about a task you had to complete under time pressure. How did you manage the execution?,I worked on related tasks. I was personally responsible for the execution end-to-end. We reduced the error rate from 18% to 3%.,1,5,4,main,ownership_high_specificity_low
Describe a failure or recurring issue and what you did to prevent it from happening again.,"I worked on inventory tracking with Snowflake. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I led the core implementation and was accountable for the main deliverables. I coordinated with support and sales to make sure the solution matched the real workflow. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",4,4,1,minimal_pair_low,pair_dim=impact
Give an example of a time you had to coordinate with multiple stakeholders to complete a task.,"I was involved in the process. I had responsibility for part of the work, together with the rest of the team. We cut the open backlog from 136 items to 108 items. The change was adopted by the team and stayed in regular use.",1,3,5,main,impact_high_specificity_low
Describe a failure or recurring issue and what you did to prevent it from happening again.,"I've done similar things before. I was not focused on the details because it was only one part of the job. I supported the team and mainly handled follow-ups, updates, or smaller tasks. There was some improvement, but it was hard to quantify. approximately, because we did not have a clean baseline.",1,2,2,main,all_low
How do you measure success in a task? Give a real example.,"I worked on data cleaning with Power BI. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. The team owned the work overall, and my role was limited. I coordinated with product and finance to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",4,1,3,minimal_pair_low,pair_dim=ownership
Tell me about a task you had to complete under time pressure. How did you manage the execution?,"I handled work related to inventory tracking and used Figma as part of the process. I had responsibility for part of the work, together with the rest of the team. I coordinated with product and finance to make sure the solution matched the real workflow. There was some improvement, but it was hard to quantify.",3,3,2,main,mixed_mid
Tell me about a task you had to complete under time pressure. How did you manage the execution?,"I have experience in this area. I was not focused on the details because it was only one part of the job. I supported the team and mainly handled follow-ups, updates, or smaller tasks. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",1,2,1,main,all_low
Tell me about a task you had to complete under time pressure. How did you manage the execution?,"I learn quickly and adapt. I led the core implementation and was accountable for the main deliverables. There was some improvement, but it was hard to quantify. approximately, because we did not have a clean baseline.",1,4,2,main,ownership_high_specificity_low
Describe a failure or recurring issue and what you did to prevent it from happening again.,"In my last role, I owned a customer onboarding project using Notion. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I led the core implementation and was accountable for the main deliverables. The result was a noticeable improvement, even though we did not track every metric formally.",5,4,3,minimal_pair_high,pair_dim=specificity
Give an example of a time you had to coordinate with multiple stakeholders to complete a task.,"I worked on release management, and i usually help where needed. I used tools like Docker, but I was not the only person involved. I supported the team and mainly handled follow-ups, updates, or smaller tasks. There was some improvement, but it was hard to quantify.",2,2,2,main,mixed_mid
What was your role in your last team project? What part did you personally handle?,"I'm good at this kind of work. I was not focused on the details because it was only one part of the job. I was personally responsible for the execution end-to-end. The result was a noticeable improvement, even though we did not track every metric formally.",1,5,3,main,ownership_high_specificity_low
Tell me about a task you had to complete under time pressure. How did you manage the execution?,I usually help where needed. I was not focused on the details because it was only one part of the job. I was personally responsible for the execution end-to-end. We cut the open backlog from 38 items to 7 items.,1,5,4,main,ownership_high_specificity_low
Describe a failure or recurring issue and what you did to prevent it from happening again.,"I worked on log analysis, and i've done similar things before. I used tools like C#, but I was not the only person involved. I had responsibility for part of the work, together with the rest of the team. We reduced runtime from 2 minutes to 1 seconds.",2,3,4,main,mixed_mid
How do you measure success in a task? Give a real example.,"I worked on log analysis, and i usually help where needed. The team owned the work overall, and my role was limited. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",2,1,1,main,all_low
Tell me about a technical or operational problem you faced and how you solved it.,"I worked on candidate screening with Python. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I led the core implementation and was accountable for the main deliverables. I coordinated with operations and sales to make sure the solution matched the real workflow. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",4,4,1,minimal_pair_low,pair_dim=impact
Describe a project you executed end-to-end. What did you do and what was the result?,"I worked on client communication with Node.js. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I supported the team and mainly handled follow-ups, updates, or smaller tasks. I coordinated with sales and HR to make sure the solution matched the real workflow. There was some improvement, but it was hard to quantify. if I remember correctly, because we did not have a clean baseline.",4,2,2,main,edge_uncertain
Describe a situation where you automated a manual process.,"I handled work related to candidate screening and used React as part of the process. I led the core implementation and was accountable for the main deliverables. I coordinated with product and QA to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally. Security restrictions limited the tools we could use.",3,4,3,main,mixed_mid
How do you measure success in a task? Give a real example.,"I worked on related tasks. I was not focused on the details because it was only one part of the job. I led the core implementation and was accountable for the main deliverables. We reduced the monthly cost from $21,168 to $18,625. The change was adopted by the team and stayed in regular use.",1,4,5,main,impact_high_specificity_low
Tell me about a technical or operational problem you faced and how you solved it.,"In my last role, I owned a forecasting project using Zapier. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I was personally responsible for the execution end-to-end. I coordinated with engineering and support to make sure the solution matched the real workflow. We reduced the monthly cost from $14,309 to $9,572. The change was adopted by the team and stayed in regular use.",5,5,5,main,all_high
Describe a situation where you automated a manual process.,"I wrote a Python ETL pipeline that pulled data from an API, stored it in PostgreSQL, and fed a Power BI dashboard used by operations.",5,5,4,edge_case,strong_specific
"What core tool have you used recently, and what did you actually do with it?","I handled work related to support ticket triage and used Airflow as part of the process. I split the task into a few steps and went through them with the team. I had responsibility for part of the work, together with the rest of the team. The result was a noticeable improvement, even though we did not track every metric formally.",3,3,3,main,mixed_mid
Describe a failure or recurring issue and what you did to prevent it from happening again.,"I worked on invoice reconciliation, and i've done similar things before. I used tools like SQL, but I was not the only person involved. I had responsibility for part of the work, together with the rest of the team. There was some improvement, but it was hard to quantify. if I remember correctly, because we did not have a clean baseline.",2,3,2,main,mixed_mid
Tell me about a task you had to complete under time pressure. How did you manage the execution?,"I worked on sales reporting with PostgreSQL. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I led the core implementation and was accountable for the main deliverables. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership. I do not remember the exact numbers, only the direction of the change.",4,4,1,minimal_pair_low,pair_dim=impact
What was your role in your last team project? What part did you personally handle?,"I worked on customer onboarding with Lambda. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I was personally responsible for the execution end-to-end. I coordinated with product and finance to make sure the solution matched the real workflow. We reduced the monthly cost from $17,609 to $1,736. The change was adopted by the team and stayed in regular use.",4,5,5,main,all_high
Give an example of a time you had to coordinate with multiple stakeholders to complete a task.,"In my last role, I owned a invoice reconciliation project using Python. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I led the core implementation and was accountable for the main deliverables. I coordinated with QA and management to make sure the solution matched the real workflow. There was some improvement, but it was hard to quantify.",5,4,2,main,specificity_high_impact_low
Tell me about a task you had to complete under time pressure. How did you manage the execution?,"I worked on related tasks. I supported the team and mainly handled follow-ups, updates, or smaller tasks. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",1,2,1,main,all_low
"What core tool have you used recently, and what did you actually do with it?","I'm good at this kind of work. I was not focused on the details because it was only one part of the job. The team owned the work overall, and my role was limited. There was some improvement, but it was hard to quantify. roughly, because we did not have a clean baseline.",1,1,2,main,all_low
"Describe a process you improved. What was the situation before, and what changed afterward?","I worked on customer onboarding, and i have experience in this area. I used tools like Jira, but I was not the only person involved. I was personally responsible for the execution end-to-end. There was some improvement, but it was hard to quantify. I do not remember the exact numbers, only the direction of the change.",2,5,2,main,ownership_high_specificity_low
Describe a situation where you automated a manual process.,"I worked on support ticket triage, and i usually help where needed. I used tools like Notion, but I was not the only person involved. I led the core implementation and was accountable for the main deliverables. The result was a noticeable improvement, even though we did not track every metric formally.",2,4,3,main,ownership_high_specificity_low
"Describe a process you improved. What was the situation before, and what changed afterward?","I worked on payment operations, and i usually help where needed. The team owned the work overall, and my role was limited. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",2,1,1,main,edge_uncertain
Tell me about a technical or operational problem you faced and how you solved it.,"In my last role, I owned a candidate screening project using Node.js. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. The team owned the work overall, and my role was limited. I coordinated with HR and sales to make sure the solution matched the real workflow. We reduced deployment time from 3 hours to 1 minutes.",5,1,4,main,ownership_low_specificity_high
What was your role in your last team project? What part did you personally handle?,"In my last role, I owned a inventory tracking project using Looker. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I led the core implementation and was accountable for the main deliverables. I coordinated with QA and support to make sure the solution matched the real workflow. There was some improvement, but it was hard to quantify. It started as a short pilot, so the data was incomplete.",5,4,2,main,specificity_high_impact_low
Tell me about a technical or operational problem you faced and how you solved it.,"I handled work related to data cleaning and used Git as part of the process. I split the task into a few steps and went through them with the team. I led the core implementation and was accountable for the main deliverables. There was some improvement, but it was hard to quantify. approximately, because we did not have a clean baseline.",3,4,2,main,mixed_mid
Give an example of a time you had to coordinate with multiple stakeholders to complete a task.,"I worked on client communication with Excel. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. The team owned the work overall, and my role was limited. I coordinated with product and engineering to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",4,1,3,minimal_pair_low,pair_dim=ownership
What was your role in your last team project? What part did you personally handle?,"In my last role, I owned a task tracking project using MongoDB. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I led the core implementation and was accountable for the main deliverables. I coordinated with QA and HR to make sure the solution matched the real workflow. We reduced runtime from 3 minutes to 1 seconds. The change was adopted by the team and stayed in regular use.",5,4,5,main,all_high
Tell me about a technical or operational problem you faced and how you solved it.,"I worked on forecasting, and i've done similar things before. The team owned the work overall, and my role was limited. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",2,1,1,main,all_low
Tell me about a technical or operational problem you faced and how you solved it.,"I worked on related tasks. I was not focused on the details because it was only one part of the job. I had responsibility for part of the work, together with the rest of the team. We reduced report preparation time from 6 hours to 3 minutes. The change was adopted by the team and stayed in regular use. It started as a short pilot, so the data was incomplete.",1,3,5,main,impact_high_specificity_low
Describe a situation where you automated a manual process.,"I worked on API integration, and i usually help where needed. I used tools like Lambda, but I was not the only person involved. I had responsibility for part of the work, together with the rest of the team. The result was a noticeable improvement, even though we did not track every metric formally.",2,3,3,main,mixed_mid
Describe a project you executed end-to-end. What did you do and what was the result?,"I have experience in this area. I supported the team and mainly handled follow-ups, updates, or smaller tasks. There was some improvement, but it was hard to quantify.",1,2,2,main,all_low
Give an example of a time you had to coordinate with multiple stakeholders to complete a task.,"In my last role, I owned a permissions management project using Figma. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. The team owned the work overall, and my role was limited. I coordinated with management and engineering to make sure the solution matched the real workflow. We reduced report preparation time from 3 hours to 1 minutes. The change was adopted by the team and stayed in regular use.",5,1,5,main,ownership_low_specificity_high
Describe a failure or recurring issue and what you did to prevent it from happening again.,"I worked on client communication with Power BI. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I had responsibility for part of the work, together with the rest of the team. I coordinated with engineering and QA to make sure the solution matched the real workflow. There was some improvement, but it was hard to quantify.",4,3,2,main,mixed_mid
"Describe a process you improved. What was the situation before, and what changed afterward?","In my last role, I owned a client communication project using Excel. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I was personally responsible for the execution end-to-end. We reduced report preparation time from 5 hours to 3 minutes.",5,5,4,main,all_high
Describe a failure or recurring issue and what you did to prevent it from happening again.,"In my last role, I owned a task tracking project using Notion. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I was personally responsible for the execution end-to-end. We reduced deployment time from 2 hours to 1 minutes. The change was adopted by the team and stayed in regular use.",5,5,5,main,all_high
Tell me about a task you had to complete under time pressure. How did you manage the execution?,"I worked on inventory tracking with C#. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I led the core implementation and was accountable for the main deliverables. I coordinated with finance and operations to make sure the solution matched the real workflow. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",4,4,1,minimal_pair_low,pair_dim=impact
Tell me about a task you had to complete under time pressure. How did you manage the execution?,"I handled work related to KPI reporting and used Node.js as part of the process. I split the task into a few steps and went through them with the team. I supported the team and mainly handled follow-ups, updates, or smaller tasks. I coordinated with engineering and sales to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",3,2,3,main,edge_uncertain
Describe a situation where you automated a manual process.,"I handled work related to inventory tracking and used .NET as part of the process. I split the task into a few steps and went through them with the team. I had responsibility for part of the work, together with the rest of the team. I coordinated with finance and support to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",3,3,3,main,mixed_mid
"What core tool have you used recently, and what did you actually do with it?","I handled work related to release management and used Looker as part of the process. I led the core implementation and was accountable for the main deliverables. I coordinated with HR and support to make sure the solution matched the real workflow. There was some improvement, but it was hard to quantify. I don't remember the exact number, because we did not have a clean baseline.",3,4,2,main,mixed_mid
"Describe a process you improved. What was the situation before, and what changed afterward?","I have experience in this area. The team owned the work overall, and my role was limited. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",1,1,1,main,all_low
Describe a project you executed end-to-end. What did you do and what was the result?,"In my last role, I owned a invoice reconciliation project using Zapier. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I led the core implementation and was accountable for the main deliverables. I coordinated with HR and QA to make sure the solution matched the real workflow. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership. It started as a short pilot, so the data was incomplete.",5,4,1,main,specificity_high_impact_low
Tell me about a task you had to complete under time pressure. How did you manage the execution?,I handled work related to payment operations and used Excel as part of the process. I split the task into a few steps and went through them with the team. I led the core implementation and was accountable for the main deliverables. I coordinated with finance and HR to make sure the solution matched the real workflow. We reduced deployment time from 3 hours to 2 minutes. Security restrictions limited the tools we could use.,3,4,4,main,mixed_mid
Describe a situation where you automated a manual process.,"I worked on inventory tracking with React. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I led the core implementation and was accountable for the main deliverables. We reduced the error rate from 22% to 2%. The change was adopted by the team and stayed in regular use.",4,4,5,main,all_high
What was your role in your last team project? What part did you personally handle?,"I worked on task tracking, and i'm good at this kind of work. I used tools like Node.js, but I was not the only person involved. I was personally responsible for the execution end-to-end. The result was a noticeable improvement, even though we did not track every metric formally.",2,5,3,main,ownership_high_specificity_low
Describe a project you executed end-to-end. What did you do and what was the result?,"I handled work related to KPI reporting and used Figma as part of the process. I split the task into a few steps and went through them with the team. I led the core implementation and was accountable for the main deliverables. I coordinated with operations and finance to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",3,4,3,main,mixed_mid
Tell me about a technical or operational problem you faced and how you solved it.,"I handled work related to employee onboarding and used .NET as part of the process. I split the task into a few steps and went through them with the team. The team owned the work overall, and my role was limited. I coordinated with management and HR to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",3,1,3,main,edge_uncertain
"Describe a process you improved. What was the situation before, and what changed afterward?","I worked on employee onboarding with Looker. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I led the core implementation and was accountable for the main deliverables. I coordinated with finance and engineering to make sure the solution matched the real workflow. We reduced report preparation time from 10 hours to 3 minutes. The change was adopted by the team and stayed in regular use.",4,4,5,minimal_pair_high,pair_dim=impact
Give an example of a time you had to coordinate with multiple stakeholders to complete a task.,"I worked on KPI reporting, and i'm good at this kind of work. I was personally responsible for the execution end-to-end. The result was a noticeable improvement, even though we did not track every metric formally.",2,5,3,main,ownership_high_specificity_low
"What core tool have you used recently, and what did you actually do with it?","I worked on performance optimization with Make. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I was personally responsible for the execution end-to-end. I coordinated with product and management to make sure the solution matched the real workflow. We reduced the error rate from 20% to 14%. The change was adopted by the team and stayed in regular use.",4,5,5,main,all_high
What was your role in your last team project? What part did you personally handle?,"I worked on sales reporting with Node.js. I mapped the steps, implemented the main changes, and coordinated feedback before rolling it out. I had responsibility for part of the work, together with the rest of the team. I coordinated with engineering and management to make sure the solution matched the real workflow. The result was a noticeable improvement, even though we did not track every metric formally.",4,3,3,main,mixed_mid
Tell me about a technical or operational problem you faced and how you solved it.,"In my last role, I owned a log analysis project using Snowflake. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I was personally responsible for the execution end-to-end. I coordinated with HR and QA to make sure the solution matched the real workflow. We cut the open backlog from 93 items to 31 items. The change was adopted by the team and stayed in regular use.",5,5,5,main,all_high
Give an example of a time you had to coordinate with multiple stakeholders to complete a task.,"I worked on candidate screening, and i have experience in this area. I had responsibility for part of the work, together with the rest of the team. The result was a noticeable improvement, even though we did not track every metric formally.",2,3,3,main,mixed_mid
Describe a project you executed end-to-end. What did you do and what was the result?,"In my last role, I owned a client communication project using Jira. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I was personally responsible for the execution end-to-end. We cut the open backlog from 67 items to 12 items. The change was adopted by the team and stayed in regular use.",5,5,5,main,all_high
"What core tool have you used recently, and what did you actually do with it?","In my last role, I owned a KPI reporting project using C#. I defined the workflow, broke the work into milestones, documented requirements, and built the solution in stages so the team could review each step. I connected the inputs, added validation checks, tested the handoff points, and wrote short documentation so other people could maintain it. I led the core implementation and was accountable for the main deliverables. I coordinated with HR and engineering to make sure the solution matched the real workflow. I cannot point to a clear result, because it was mostly exposure or learning rather than ownership.",5,4,1,main,specificity_high_impact_low
