text,personality,thinking,abilities,experience,no_signal,label_combo,source
Question: What does your reasoning process look like? Answer: I usually go deeper than the first answer and ask what could break and what assumptions are hidden.,0,1,0,0,0,thinking,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I prefer routine and familiar methods, and I usually avoid unnecessary experimentation. Also, I built the solution end-to-end, documented the steps, and made sure it was usable by the team afterward.",1,0,1,0,0,personality+abilities,synthetic_combo
"Question: What should we know about the way you work? Answer: I wrote the core API integration, tested edge cases, and supported the first release into production. In practice, The project had multiple dependencies, real-user impact, production constraints, and cross-team coordination requirements.",0,0,1,1,0,abilities+experience,synthetic_combo
"Question: What should we know about the way you work? Answer: I like predictable processes and proven methods more than risky experiments. On top of that, I usually go deeper than the first answer and ask what could break and what assumptions are hidden. Also, I implemented the feature, monitored the rollout, and fixed issues that appeared in the first week. At the same time, My experience includes working across reporting systems, operational workflows, internal platforms, and cross-functional delivery.",1,1,1,1,0,personality+thinking+abilities+experience,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I stay composed under pressure and do not get emotionally overwhelmed easily. More specifically, I usually go deeper than the first answer and ask what could break and what assumptions are hidden. Not every part of the work was equally difficult.",1,1,0,0,0,personality+thinking,synthetic_combo
"Question: How would you describe your general working style? Answer: I plan carefully, stay organized, and follow through on commitments even under pressure.",1,0,0,0,0,personality,synthetic_combo
"Question: Describe the scale and responsibility of your previous work. Answer: I worked on a multi-team production system with APIs, SQL, dashboards, and release processes across engineering, product, and operations.",0,0,0,1,0,experience,synthetic_combo
"Question: Describe your work and how you approach it. Answer: My approach is to define the problem, test explanations, and rule out weak hypotheses one by one. Also, I worked in both internal tools and customer-facing systems, including production releases and incident follow-up.",0,1,0,1,0,thinking+experience,synthetic_combo
"Question: Tell me about your professional experience. Answer: The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints.",0,0,0,1,0,experience,synthetic_combo
"Question: How do you usually behave in team settings? Answer: I try to be empathetic, cooperative, and calm when working with others in difficult situations.",1,0,0,0,0,personality,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I try to make my conclusions traceable so someone else can follow the logic. In practice, I have worked with several tools and environments, including dashboards, pipelines, APIs, and customer-facing delivery contexts.",0,1,0,1,0,thinking+experience,synthetic_combo
"Question: How would you describe your professional profile? Answer: I try to be empathetic, cooperative, and calm when working with others in difficult situations. More specifically, The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints.",1,0,0,1,0,personality+experience,synthetic_combo
"Question: How do you think through a difficult problem? Answer: Before deciding, I compare alternatives, stress-test the reasoning, and look for counterexamples.",0,1,0,0,0,thinking,synthetic_combo
Question: How would you describe your general working style? Answer: I like predictable processes and proven methods more than risky experiments.,1,0,0,0,0,personality,synthetic_combo
"Question: How do you work on difficult tasks? Answer: First I break the problem into smaller parts, compare implementation options, and then build the solution step by step.",0,1,1,0,0,thinking+abilities,thinking_abilities_hybrid
"Question: What should we know about the way you work? Answer: I stay composed under pressure and do not get emotionally overwhelmed easily. In addition, My approach is to define the problem, test explanations, and rule out weak hypotheses one by one. In addition, The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints. The details depended on the context and team needs.",1,1,0,1,0,personality+thinking+experience,synthetic_combo
"Question: How do you approach complex decisions? Answer: I explain my reasoning clearly, separate facts from assumptions, and make the argument easy to follow.",0,1,0,0,0,thinking,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I try to be empathetic, cooperative, and calm when working with others in difficult situations. At the same time, The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints.",1,0,0,1,0,personality+experience,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I try to be empathetic, cooperative, and calm when working with others in difficult situations. On top of that, I built a dashboard in Power BI connected to SQL and reduced weekly report preparation from three hours to twenty minutes.",1,0,1,0,0,personality+abilities,synthetic_combo
I am not sure how to answer that.,0,0,0,0,1,none,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I like predictable processes and proven methods more than risky experiments. At the same time, I explain my reasoning clearly, separate facts from assumptions, and make the argument easy to follow. At the same time, I owned the rollout of an internal tool, coordinated with the team, and handled the implementation details myself. In practice, I worked on a multi-team production system with APIs, SQL, dashboards, and release processes across engineering, product, and operations.",1,1,1,1,0,personality+thinking+abilities+experience,synthetic_combo
"Question: How would you describe your professional profile? Answer: I prefer routine and familiar methods, and I usually avoid unnecessary experimentation. Also, I like to structure my thinking in steps so the logic is explicit and easy to verify. Also, I translated a vague need into concrete execution steps and delivered a working solution. In practice, The project had multiple dependencies, real-user impact, production constraints, and cross-team coordination requirements.",1,1,1,1,0,personality+thinking+abilities+experience,synthetic_combo
It was okay overall.,0,0,0,0,1,none,synthetic_combo
"Question: What should we know about the way you work? Answer: I support teammates, listen to different perspectives, and look for harmony in group settings. More specifically, I created a structured workflow in Notion and Jira so the team could track deliverables and execution more consistently. In practice, The project had multiple dependencies, real-user impact, production constraints, and cross-team coordination requirements.",1,0,1,1,0,personality+abilities+experience,synthetic_combo
"Question: Describe the scale and responsibility of your previous work. Answer: I have worked with several tools and environments, including dashboards, pipelines, APIs, and customer-facing delivery contexts.",0,0,0,1,0,experience,synthetic_combo
"Question: What kind of systems and environments have you worked in? Answer: I was responsible for one major component in a customer-facing workflow and handled planning, execution, and release follow-up.",0,0,0,1,0,experience,synthetic_combo
"Yes, I think so.",0,0,0,0,1,none,no_signal_short
"Question: What should we know about the way you work? Answer: Before deciding, I compare alternatives, stress-test the reasoning, and look for counterexamples. More specifically, I implemented a Python script that cleaned incoming data and pushed validated records into the reporting flow. At the same time, I had ownership over a significant part of delivery in a real production environment and coordinated with multiple stakeholders.",0,1,1,1,0,thinking+abilities+experience,synthetic_combo
"Question: What should we know about the way you work? Answer: I explain my reasoning clearly, separate facts from assumptions, and make the argument easy to follow. In practice, I built a dashboard in Power BI connected to SQL and reduced weekly report preparation from three hours to twenty minutes. More specifically, I have worked with several tools and environments, including dashboards, pipelines, APIs, and customer-facing delivery contexts.",0,1,1,1,0,thinking+abilities+experience,synthetic_combo
"Question: Tell me about yourself professionally. Answer: Before deciding, I compare alternatives, stress-test the reasoning, and look for counterexamples. Also, I turned a repeated manual task into a repeatable process using scripts, validation checks, and scheduled runs.",0,1,1,0,0,thinking+abilities,synthetic_combo
"Question: What kind of person are you at work? Answer: I am highly self-disciplined, structured, and consistent in the way I handle my work.",1,0,0,0,0,personality,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I support teammates, listen to different perspectives, and look for harmony in group settings. On top of that, I break complex questions into smaller parts and build the answer in a transparent sequence. In practice, I built the solution end-to-end, documented the steps, and made sure it was usable by the team afterward. In practice, I have worked with several tools and environments, including dashboards, pipelines, APIs, and customer-facing delivery contexts.",1,1,1,1,0,personality+thinking+abilities+experience,synthetic_combo
"Question: Tell me about your professional experience. Answer: My experience includes working across reporting systems, operational workflows, internal platforms, and cross-functional delivery.",0,0,0,1,0,experience,synthetic_combo
"Question: What does your reasoning process look like? Answer: My approach is to define the problem, test explanations, and rule out weak hypotheses one by one.",0,1,0,0,0,thinking,synthetic_combo
"Question: How do you think through a difficult problem? Answer: I prefer arguments that are precise, logically valid, and supported by evidence.",0,1,0,0,0,thinking,synthetic_combo
"Question: How do you approach complex decisions? Answer: When I solve a problem, I look at edge cases, long-term consequences, and trade-offs between options.",0,1,0,0,0,thinking,synthetic_combo
"Question: How would you describe your professional profile? Answer: I am dependable, detail-oriented, and usually create order when things are messy. In practice, When I solve a problem, I look at edge cases, long-term consequences, and trade-offs between options. In practice, I turned a repeated manual task into a repeatable process using scripts, validation checks, and scheduled runs. In practice, I handled a production issue in a system with several services and dependencies that affected real users and business operations.",1,1,1,1,0,personality+thinking+abilities+experience,synthetic_combo
"Question: Tell me about your work. Answer: I heard about SQL, Python, APIs, dashboards, and production systems during my studies, but I did not build or own anything myself.",0,0,0,0,1,none,keyword_trap
"Question: How would you describe your professional profile? Answer: I try to be empathetic, cooperative, and calm when working with others in difficult situations. At the same time, First I checked the assumptions, then compared the alternatives, and only after that did I reach a conclusion.",1,1,0,0,0,personality+thinking,synthetic_combo
"Question: How would you describe your professional profile? Answer: I enjoy trying new ideas and different approaches, and I usually stay curious about how things can be improved. Also, My experience includes working across reporting systems, operational workflows, internal platforms, and cross-functional delivery.",1,0,0,1,0,personality+experience,synthetic_combo
"Question: How would you describe the way you work? Answer: I stay organized and disciplined, and when facing a difficult decision I compare alternatives before choosing a direction.",1,1,0,0,0,personality+thinking,personality_thinking_hybrid
"Question: Describe something concrete you implemented. Answer: I implemented the feature, monitored the rollout, and fixed issues that appeared in the first week.",0,0,1,0,0,abilities,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I stay composed under pressure and do not get emotionally overwhelmed easily. In addition, I prefer arguments that are precise, logically valid, and supported by evidence.",1,1,0,0,0,personality+thinking,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I support teammates, listen to different perspectives, and look for harmony in group settings. Also, I try to make my conclusions traceable so someone else can follow the logic. At the same time, I wrote the core API integration, tested edge cases, and supported the first release into production. At the same time, I was responsible for one major component in a customer-facing workflow and handled planning, execution, and release follow-up. Not every part of the work was equally difficult.",1,1,1,1,0,personality+thinking+abilities+experience,synthetic_combo
"Question: How do you usually behave in team settings? Answer: I plan carefully, stay organized, and follow through on commitments even under pressure.",1,0,0,0,0,personality,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I prefer routine and familiar methods, and I usually avoid unnecessary experimentation. Also, First I checked the assumptions, then compared the alternatives, and only after that did I reach a conclusion. Also, I turned a repeated manual task into a repeatable process using scripts, validation checks, and scheduled runs. In practice, I have worked with several tools and environments, including dashboards, pipelines, APIs, and customer-facing delivery contexts. The details depended on the context and team needs.",1,1,1,1,0,personality+thinking+abilities+experience,synthetic_combo
"Question: How do you usually behave in team settings? Answer: I enjoy trying new ideas and different approaches, and I usually stay curious about how things can be improved.",1,0,0,0,0,personality,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I explain my reasoning clearly, separate facts from assumptions, and make the argument easy to follow. At the same time, I worked in both internal tools and customer-facing systems, including production releases and incident follow-up.",0,1,0,1,0,thinking+experience,synthetic_combo
I am not sure how to answer that.,0,0,0,0,1,none,synthetic_combo
"Question: What kind of person are you at work? Answer: I support teammates, listen to different perspectives, and look for harmony in group settings.",1,0,0,0,0,personality,synthetic_combo
"Question: Tell me about your professional experience. Answer: The project had multiple dependencies, real-user impact, production constraints, and cross-team coordination requirements.",0,0,0,1,0,experience,synthetic_combo
"Question: What have you done in practice? Answer: I turned a repeated manual task into a repeatable process using scripts, validation checks, and scheduled runs.",0,0,1,0,0,abilities,synthetic_combo
"Question: What should we know about the way you work? Answer: I am dependable, detail-oriented, and usually create order when things are messy. At the same time, I implemented a Python script that cleaned incoming data and pushed validated records into the reporting flow.",1,0,1,0,0,personality+abilities,synthetic_combo
"Question: How would you describe your professional profile? Answer: I stay composed under pressure and do not get emotionally overwhelmed easily. At the same time, I usually go deeper than the first answer and ask what could break and what assumptions are hidden. In addition, I wrote the core API integration, tested edge cases, and supported the first release into production.",1,1,1,0,0,personality+thinking+abilities,synthetic_combo
Question: What does your reasoning process look like? Answer: I try to make my conclusions traceable so someone else can follow the logic.,0,1,0,0,0,thinking,synthetic_combo
"Question: What kind of person are you at work? Answer: I support teammates, listen to different perspectives, and look for harmony in group settings.",1,0,0,0,0,personality,synthetic_combo
"Question: How would you describe your professional profile? Answer: I try to be empathetic, cooperative, and calm when working with others in difficult situations. At the same time, I had ownership over a significant part of delivery in a real production environment and coordinated with multiple stakeholders.",1,0,0,1,0,personality+experience,synthetic_combo
"Question: How would you describe your professional profile? Answer: I stay composed under pressure and do not get emotionally overwhelmed easily. On top of that, I prefer arguments that are precise, logically valid, and supported by evidence. In practice, I created a structured workflow in Notion and Jira so the team could track deliverables and execution more consistently.",1,1,1,0,0,personality+thinking+abilities,synthetic_combo
"Question: How do you usually behave in team settings? Answer: I support teammates, listen to different perspectives, and look for harmony in group settings.",1,0,0,0,0,personality,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I stay composed under pressure and do not get emotionally overwhelmed easily. Also, I prefer arguments that are precise, logically valid, and supported by evidence. Also, I owned the rollout of an internal tool, coordinated with the team, and handled the implementation details myself. More specifically, I have worked with several tools and environments, including dashboards, pipelines, APIs, and customer-facing delivery contexts.",1,1,1,1,0,personality+thinking+abilities+experience,synthetic_combo
"Question: What should we know about the way you work? Answer: I enjoy trying new ideas and different approaches, and I usually stay curious about how things can be improved. In addition, I wrote the core API integration, tested edge cases, and supported the first release into production.",1,0,1,0,0,personality+abilities,synthetic_combo
"Question: What kind of person are you at work? Answer: I prefer routine and familiar methods, and I usually avoid unnecessary experimentation.",1,0,0,0,0,personality,synthetic_combo
Question: How do you approach complex decisions? Answer: I try to make my conclusions traceable so someone else can follow the logic.,0,1,0,0,0,thinking,synthetic_combo
It varied from time to time.,0,0,0,0,1,none,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I stay composed under pressure and do not get emotionally overwhelmed easily. In practice, I handled a production issue in a system with several services and dependencies that affected real users and business operations.",1,0,0,1,0,personality+experience,synthetic_combo
Question: How would you describe your general working style? Answer: I stay composed under pressure and do not get emotionally overwhelmed easily.,1,0,0,0,0,personality,synthetic_combo
"Question: How would you describe your professional profile? Answer: I stay composed under pressure and do not get emotionally overwhelmed easily. Also, I try to make my conclusions traceable so someone else can follow the logic. In addition, The system I worked on had scale, dependencies, and operational constraints beyond a small standalone project.",1,1,0,1,0,personality+thinking+experience,synthetic_combo
"Question: How do you approach complex decisions? Answer: I like to structure my thinking in steps so the logic is explicit and easy to verify. Some parts were unclear at first, but I worked through them systematically.",0,1,0,0,0,thinking,synthetic_combo
It was okay overall.,0,0,0,0,1,none,synthetic_combo
"Question: Describe something concrete you implemented. Answer: I owned the rollout of an internal tool, coordinated with the team, and handled the implementation details myself.",0,0,1,0,0,abilities,synthetic_combo
"Question: Describe the scale and responsibility of your previous work. Answer: I worked on a multi-team production system with APIs, SQL, dashboards, and release processes across engineering, product, and operations.",0,0,0,1,0,experience,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I feel energized by working with people, leading conversations, and building connections across teams. At the same time, I turned a repeated manual task into a repeatable process using scripts, validation checks, and scheduled runs. On top of that, I handled a production issue in a system with several services and dependencies that affected real users and business operations. Some parts were unclear at first, but I worked through them systematically.",1,0,1,1,0,personality+abilities+experience,synthetic_combo
That depends on the situation.,0,0,0,0,1,none,synthetic_combo
"Question: Describe the scale and responsibility of your previous work. Answer: I was responsible for one major component in a customer-facing workflow and handled planning, execution, and release follow-up.",0,0,0,1,0,experience,synthetic_combo
Question: Tell me what you actually built or executed. Answer: I implemented a Python script that cleaned incoming data and pushed validated records into the reporting flow.,0,0,1,0,0,abilities,synthetic_combo
"Question: How would you describe your professional profile? Answer: I prefer routine and familiar methods, and I usually avoid unnecessary experimentation. In addition, First I checked the assumptions, then compared the alternatives, and only after that did I reach a conclusion. In addition, I implemented the feature, monitored the rollout, and fixed issues that appeared in the first week.",1,1,1,0,0,personality+thinking+abilities,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I am highly self-disciplined, structured, and consistent in the way I handle my work. Also, I explain my reasoning clearly, separate facts from assumptions, and make the argument easy to follow. On top of that, I have worked with several tools and environments, including dashboards, pipelines, APIs, and customer-facing delivery contexts. Not every part of the work was equally difficult.",1,1,0,1,0,personality+thinking+experience,synthetic_combo
Question: What kind of systems and environments have you worked in? Answer: I handled a production issue in a system with several services and dependencies that affected real users and business operations.,0,0,0,1,0,experience,synthetic_combo
"Question: How do you approach complex decisions? Answer: Before deciding, I compare alternatives, stress-test the reasoning, and look for counterexamples.",0,1,0,0,0,thinking,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I turned a repeated manual task into a repeatable process using scripts, validation checks, and scheduled runs. At the same time, My experience includes working across reporting systems, operational workflows, internal platforms, and cross-functional delivery.",0,0,1,1,0,abilities+experience,synthetic_combo
"Question: Tell me about your professional experience. Answer: I was responsible for one major component in a customer-facing workflow and handled planning, execution, and release follow-up.",0,0,0,1,0,experience,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I built the solution end-to-end, documented the steps, and made sure it was usable by the team afterward. At the same time, The system I worked on had scale, dependencies, and operational constraints beyond a small standalone project.",0,0,1,1,0,abilities+experience,synthetic_combo
"Question: Describe your work and how you approach it. Answer: Before deciding, I compare alternatives, stress-test the reasoning, and look for counterexamples. In addition, The work was complex because it involved multiple teams, dependencies, incidents, and operational constraints.",0,1,0,1,0,thinking+experience,synthetic_combo
"Question: How do you think through a difficult problem? Answer: When I solve a problem, I look at edge cases, long-term consequences, and trade-offs between options.",0,1,0,0,0,thinking,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I prefer routine and familiar methods, and I usually avoid unnecessary experimentation. On top of that, First I checked the assumptions, then compared the alternatives, and only after that did I reach a conclusion. In practice, I implemented the feature, monitored the rollout, and fixed issues that appeared in the first week.",1,1,1,0,0,personality+thinking+abilities,synthetic_combo
"Question: What does your reasoning process look like? Answer: I prefer arguments that are precise, logically valid, and supported by evidence.",0,1,0,0,0,thinking,synthetic_combo
"Question: Describe your work and how you approach it. Answer: I try to be empathetic, cooperative, and calm when working with others in difficult situations. At the same time, I try to make my conclusions traceable so someone else can follow the logic. In practice, I created a structured workflow in Notion and Jira so the team could track deliverables and execution more consistently. Some parts were unclear at first, but I worked through them systematically.",1,1,1,0,0,personality+thinking+abilities,synthetic_combo
"Question: Tell me about yourself professionally. Answer: I am highly organized, I think in a structured way, I built production tools using SQL and Python, and I worked across teams on complex real-world systems.",1,1,1,1,0,personality+thinking+abilities+experience,all_four_hybrid
Question: Describe something concrete you implemented. Answer: I implemented a Python script that cleaned incoming data and pushed validated records into the reporting flow.,0,0,1,0,0,abilities,synthetic_combo
Question: Describe the scale and responsibility of your previous work. Answer: I had ownership over a significant part of delivery in a real production environment and coordinated with multiple stakeholders.,0,0,0,1,0,experience,synthetic_combo
I am not sure how to answer that.,0,0,0,0,1,none,synthetic_combo
