question,answer,exposure,complexity,responsibility,set_type,notes
Describe the most demanding technical or operational work you have done.,"I worked on order management flow in a customer-facing product and used Airflow, Kubernetes, Lambda, PostgreSQL, Pandas, Power BI across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",4,5,4,minimal_pair_high,pair_dim=complexity
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around order management flow, and I used Kubernetes for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with operations during the project. I only handled one part of it.",2,2,2,main,edge_uncertain
"What kind of systems, teams, or environments have you been exposed to?","I have seen similar things, mostly around one area like data processing pipeline. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with support, finance, sales during the project. I was not the main owner of the whole thing.",1,1,1,main,all_low
"What was your role in your last project, and how much responsibility did you have?","I had limited exposure, mostly around permissions system, and I used Pandas for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. I was responsible for one meaningful part of the work, together with the rest of the team. to the best of my memory.",2,1,3,main,edge_uncertain
Describe a project where the scale or complexity was higher than usual.,"I worked on internal admin system in a high-volume workflow and used REST APIs, React, Lambda, Git across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with finance during the project.",4,3,4,main,mixed_mid
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around API integration layer, and I used Tableau for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with finance during the project.",2,4,3,main,complexity_high_exposure_low
"What kind of systems, teams, or environments have you been exposed to?","I had limited exposure, mostly around fraud review workflow, and I used Spark for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members.",2,5,1,main,responsibility_low_complexity_high
Describe the most demanding technical or operational work you have done.,"I worked mainly on API integration layer and used PostgreSQL, AWS S3 in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. to the best of my memory.",3,5,4,main,complexity_high_exposure_low
Describe the broadest range of tools or systems you have worked with.,"I had limited exposure, mostly around data processing pipeline, and I used CI/CD pipelines for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",2,3,2,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I worked on very advanced systems, but I cannot explain what exactly I handled.",1,2,1,edge_case,big_claim_low_detail
Tell me about a project where coordination across teams was required.,It was mostly a small intern project with limited impact and close guidance.,1,1,1,edge_case,intern_scope
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on internal admin system and used Tableau, Kubernetes in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",3,3,4,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around fraud review workflow, and I used Git for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team.",2,3,3,main,mixed_mid
"What was your role in your last project, and how much responsibility did you have?","I have seen similar things, mostly around one area like reporting platform. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. to the best of my memory.",1,4,4,minimal_pair_low,pair_dim=exposure
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around inventory service, and I used MongoDB for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",2,3,4,main,responsibility_high_exposure_low
How much end-to-end ownership have you had in a real project?,"I worked mainly on reporting platform and used Jira, Git in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was responsible for one meaningful part of the work, together with the rest of the team.",3,4,3,main,mixed_mid
Tell me about a production issue or major challenge you handled.,"I have worked across an internal operations platform, including permissions system, support workflows, and reporting processes. I used tools such as Airflow, MongoDB, Redis, Spark, Notion, Lambda and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with management, support, product, and was the main point of ownership. I worked with management, support, product during the project.",5,5,5,main,all_high
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked on data processing pipeline in a customer-facing product and used AWS S3, Spark across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with support, clients, management, and was the main point of ownership.",4,4,5,minimal_pair_high,pair_dim=responsibility
How much end-to-end ownership have you had in a real project?,"I worked on support operations dashboard in a small internal tool and used Lambda, AWS S3 across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with sales, product during the project.",4,5,2,main,responsibility_low_complexity_high
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on reporting platform and used Pandas, Power BI in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My role was quite limited, and the main ownership stayed with more senior team members.",3,4,1,main,responsibility_low_complexity_high
Describe the broadest range of tools or systems you have worked with.,"I worked mainly on reporting platform and used Tableau, Pandas in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with finance, management during the project.",3,4,3,main,mixed_mid
How much end-to-end ownership have you had in a real project?,"I worked mainly on ETL pipeline and used Excel, PostgreSQL in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with engineering, sales, clients during the project.",3,4,4,main,complexity_high_exposure_low
Describe the broadest range of tools or systems you have worked with.,"I worked mainly on permissions system and used PostgreSQL, Excel in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members.",3,5,1,main,responsibility_low_complexity_high
Tell me about a production issue or major challenge you handled.,"I had limited exposure, mostly around order management flow, and I used React for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with engineering, clients during the project.",2,3,4,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around order management flow, and I used Docker for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with QA, finance during the project.",2,4,4,main,responsibility_high_exposure_low
Tell me about a production issue or major challenge you handled.,"I worked on monitoring dashboard in a multi-team production system and used Git, Docker, React, Looker, SQL, Pandas across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",4,3,4,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I worked mainly on data processing pipeline and used Notion, Git in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with sales, finance during the project.",3,3,2,main,mixed_mid
"What kind of systems, teams, or environments have you been exposed to?","I worked on ETL pipeline in a time-sensitive support process and used AWS S3, Looker, PostgreSQL, Lambda, Power BI across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with operations, management, and was the main point of ownership. I worked with operations, management during the project.",4,4,5,minimal_pair_high,pair_dim=responsibility
Describe a project where the scale or complexity was higher than usual.,"I touched related tasks before, mostly around one area like CRM automation. The work was relatively simple and focused on a limited scope with few dependencies. My role was quite limited, and the main ownership stayed with more senior team members.",1,2,1,main,all_low
Describe a project where the scale or complexity was higher than usual.,"I worked on inventory service in a high-volume workflow and used Tableau, PostgreSQL across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with operations during the project. I do not remember every detail.",4,3,2,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I have seen similar things, mostly around one area like monitoring dashboard. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with finance, QA during the project.",1,1,1,main,all_low
"What was your role in your last project, and how much responsibility did you have?","I had limited exposure, mostly around support operations dashboard, and I used SQL for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. it was some time ago.",2,3,3,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around API integration layer, and I used Power BI for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with engineering, operations during the project.",2,3,2,main,edge_uncertain
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked on API integration layer in a startup environment and used React, Looker, Git, Python, REST APIs across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with QA, clients during the project.",4,2,3,main,exposure_high_complexity_low
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around data processing pipeline, and I used Git for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with product, and was the main point of ownership.",2,3,5,main,responsibility_high_exposure_low
Tell me about a production issue or major challenge you handled.,"I had limited exposure, mostly around analytics stack, and I used Spark for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team.",2,3,3,main,edge_uncertain
Tell me about a project where coordination across teams was required.,"I worked mainly on API integration layer and used Excel, Git in that context. The work was relatively simple and focused on a limited scope with few dependencies. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with QA, product, engineering during the project. it was some time ago.",3,2,4,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I was around this kind of work, mostly around one area like fraud review workflow. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",1,1,2,main,all_low
Describe a project where the scale or complexity was higher than usual.,"I had limited exposure, mostly around reporting platform, and I used Jira for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. My role was quite limited, and the main ownership stayed with more senior team members.",2,2,1,main,edge_uncertain
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on inventory service and used Jira, Redis in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",3,5,4,main,complexity_high_exposure_low
Describe the broadest range of tools or systems you have worked with.,"I have some background in it, mostly around one area like reporting platform. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. to the best of my memory.",1,1,1,main,all_low
Describe the broadest range of tools or systems you have worked with.,"I had limited exposure, mostly around fraud review workflow, and I used Pandas for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with clients during the project.",2,3,3,main,mixed_mid
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on candidate screening pipeline and used Lambda, MongoDB in that context. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team.",3,2,3,main,mixed_mid
Tell me about the most complex project you worked on.,"I have worked across a small internal tool, including permissions system, support workflows, and reporting processes. I used tools such as SQL, Airflow, MongoDB and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with operations, and was the main point of ownership.",5,5,5,main,all_high
"What level of responsibility have you had for delivery, quality, or outcomes?","I was around this kind of work, mostly around one area like data processing pipeline. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with QA, management, clients during the project. I was not the main owner of the whole thing.",1,5,3,main,complexity_high_exposure_low
"What was your role in your last project, and how much responsibility did you have?","I have worked across a small internal tool, including release process, support workflows, and reporting processes. I used tools such as SQL, Jira, Airflow, MongoDB, Notion, Node.js and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with finance, and was the main point of ownership.",5,5,5,main,all_high
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around mobile app backend, and I used REST APIs for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team.",2,3,3,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around internal admin system, and I used Node.js for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members. I worked with engineering during the project.",2,5,1,main,responsibility_low_complexity_high
How much end-to-end ownership have you had in a real project?,"I supported the process when needed, mostly around one area like inventory service. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members.",1,1,1,main,all_low
"What kind of systems, teams, or environments have you been exposed to?","I worked mainly on support operations dashboard and used Notion, Git in that context. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with sales, operations, engineering during the project.",3,2,3,main,edge_uncertain
"What kind of systems, teams, or environments have you been exposed to?","I worked on data processing pipeline in an internal operations platform and used PostgreSQL, Node.js, AWS S3, Notion, CI/CD pipelines, MongoDB across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with management during the project.",4,5,4,minimal_pair_high,pair_dim=complexity
How much end-to-end ownership have you had in a real project?,"I worked mainly on monitoring dashboard and used PostgreSQL, Docker in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members. I worked with engineering during the project.",3,5,1,main,responsibility_low_complexity_high
Tell me about a production issue or major challenge you handled.,"I had limited exposure, mostly around permissions system, and I used Tableau for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",2,3,4,main,mixed_mid
Tell me about a project where coordination across teams was required.,"I had limited exposure, mostly around permissions system, and I used Notion for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with management, finance during the project.",2,3,3,main,mixed_mid
